                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.83348,                 1.1437,                0.52129,                0.90971,                0.67253,                0.68249,                0.69909,                0.45248,                0.74019,                 0.6015,                0.67153,                0.34718,                 1.2055,                 1.7022,                0.93586,                 1.2126,              0.0002972,              0.0002972,              0.0002972
                     88,                0.82496,                  1.133,                0.51888,                0.90804,                 0.6972,                0.67758,                0.70215,                0.45033,                0.67414,                0.65466,                0.67003,                0.34243,                 1.2012,                 1.7188,                0.91626,                 1.2089,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82215,                  1.121,                0.51631,                0.91005,                0.75394,                0.63688,                 0.7048,                0.45911,                0.74338,                0.61538,                0.67359,                0.35264,                 1.1753,                 1.7303,                0.90798,                 1.1843,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81148,                 1.1265,                0.51027,                0.89513,                0.73925,                0.64962,                0.70014,                0.44928,                0.74346,                0.63339,                0.68034,                0.34355,                 1.2189,                  1.732,                0.93423,                 1.2179,              0.0002378,              0.0002378,              0.0002378
                     91,                0.80707,                 1.1316,                0.51017,                0.89973,                0.73857,                0.63808,                 0.6879,                0.44492,                0.75389,                0.63339,                0.67987,                0.35004,                 1.2144,                 1.7498,                0.93879,                 1.2111,               0.000218,               0.000218,               0.000218
                     92,                0.78076,                 1.0938,                0.48599,                0.89797,                0.76004,                0.63339,                0.70137,                0.45003,                0.75375,                0.61618,                0.66893,                0.34521,                 1.2165,                 1.7758,                0.95405,                 1.2115,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77892,                 1.0803,                0.47829,                0.88807,                0.70042,                0.68111,                0.70424,                0.45081,                0.75273,                0.61211,                 0.6765,                0.34444,                 1.2121,                  1.772,                0.94317,                   1.22,              0.0001784,              0.0001784,              0.0001784
                     94,                0.76498,                 1.0722,                0.46633,                0.88901,                0.74712,                0.65466,                0.70704,                0.45899,                0.74249,                0.62848,                0.68169,                0.35502,                 1.1902,                 1.7384,                0.93342,                 1.2021,              0.0001586,              0.0001586,              0.0001586
                     95,                0.74922,                  1.052,                0.45872,                0.88615,                0.76021,                0.63822,                0.69599,                0.45996,                0.76098,                0.62007,                0.68556,                0.35219,                 1.1777,                 1.7561,                0.92877,                 1.1935,              0.0001388,              0.0001388,              0.0001388
                     96,                0.74864,                 1.0595,                0.45758,                0.88502,                0.72918,                 0.6566,                0.69291,                0.45584,                0.75391,                0.62684,                0.67869,                 0.3533,                 1.2068,                  1.765,                0.92583,                 1.2177,               0.000119,               0.000119,               0.000119
                     97,                0.75498,                 1.0747,                0.45814,                0.88487,                0.74384,                0.64812,                0.70415,                0.46254,                0.76231,                0.61702,                0.67643,                0.34793,                 1.1986,                 1.7715,                 0.9327,                 1.2109,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.74679,                 1.0428,                0.45227,                 0.8831,                0.72692,                0.66657,                0.70435,                0.46009,                0.76287,                0.61702,                0.67776,                 0.3515,                 1.2048,                  1.782,                0.92186,                 1.2128,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.74603,                 1.0608,                0.46089,                0.88682,                0.73484,                0.67594,                0.70797,                0.45541,                0.73323,                0.63428,                0.68295,                0.34951,                 1.2071,                 1.7943,                0.91651,                 1.2226,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.73786,                 1.0495,                0.45286,                0.88198,                0.75805,                 0.6563,                0.70943,                0.45781,                0.74413,                0.62848,                0.67643,                 0.3524,                 1.1946,                 1.7715,                0.92166,                 1.2107,               3.98e-05,               3.98e-05,               3.98e-05
